"site","lat","long","dates"
12482,51.3836,-0.1294,1
12483,54.2706,-8.4715,5
12484,54.2706,-8.4715,1
12485,54.2706,-8.4715,1
12486,55.5923,-2.0933,4
12488,52.7441,1.3197,2
12489,52.385,0.0226,2
12490,52.1342,-2.4901,1
12491,52.1971,-2.5025,1
12492,52.0347,-2.6275,1
12493,52.079,-2.5683,1
12494,54.2455,-8.479,3
12495,54.2455,-8.479,1
12496,53.5063,-6.4657,40
12497,52.9871,-0.5319,1
12498,52.7987,-0.1252,2
12499,54.2706,-8.4715,1
12502,54.6146,-7.1535,1
12507,51.114,-0.1929,1
12518,51.719,-5.082,15
12520,53.6291,-6.9878,2
12521,53.5042,-7.2308,2
12523,51.8474,-3.9017,6
12530,52.128,-3.1774,6
12531,51.5541,-0.4815,1
12532,54.5647,-0.8577,32
12543,52.7893,-0.1462,1
12547,52.1081,-8.2726,2
12548,52.1082,-8.2751,1
12549,52.1398,-8.2665,3
12552,52.039,-8.315,1
12585,52.0679,-8.3048,8
12587,51.9035,-8.4431,1
12636,52.0255,-8.3284,2
12637,52.0255,-8.3284,3
12638,51.547,-9.128,1
12639,52.0518,-8.3068,5
12645,52.039,-8.315,4
12647,52.1497,-8.2662,3
12648,52.0774,-8.3002,1
12649,52.0771,-8.2998,1
12650,52.1398,-8.2665,1
12652,51.94,-7.883,1
12655,52.0715,-8.3035,1
12657,52.1081,-8.2726,2
12663,51.1172,-3.8261,5
12667,53.4153,-6.7919,1
12668,52.9986,-0.4082,2
12669,52.8778,-8.2928,1
12671,53.5027,-7.3232,1
12673,53.6195,-1.2295,2
12674,52.1455,-8.2681,1
12675,53.4108,-6.8948,1
12676,52.197,0.2511,5
12677,51.5423,-0.0136,1
12678,51.5419,-0.0116,4
12679,51.5423,-0.0136,1
12680,51.5403,-0.0106,6
12681,51.5399,-0.0086,2
12682,52.7932,-0.1733,1
12683,51.4882,0.0058,2
12726,53.1882,-4.3426,1
12727,51.8036,-4.3721,1
12728,52.909,-4.3321,2
12729,52.9148,-4.3065,1
12730,52.9406,-4.1488,4
12731,52.6532,-7.2282,5
12732,52.6604,-7.2258,1
12734,54.4916,-8.1907,1
12735,54.4971,-8.187,1
12737,52.901,-4.3738,1
12739,52.5666,-0.169,5
12740,54.7134,-6.4614,17
12741,52.5319,-3.9983,2
12742,51.4924,0.1061,2
12744,54.801,-3.3727,1
12746,51.461,-0.1992,7
12747,52.8233,-9.0018,2
12748,52.8269,-9.002,4
12749,52.8276,-9.0063,6
12751,52.799,-8.9381,1
12752,52.8061,-8.9293,1
12753,51.9316,-4.7185,4
12754,51.786,-0.0012,4
12755,53.6225,-1.9631,6
12763,51.6844,-5.1117,8
12767,51.9317,-4.7183,1
12768,51.8759,-4.9418,4
12774,54.5511,-1.5702,2
12776,51.8871,-3.7138,1
12819,52.7607,-1.1679,3
12847,52.6856,-8.7214,1
12856,53.1198,-6.0871,1
12918,52.2568,-7.1292,1
12920,52.2312,-7.2297,1
12922,52.2312,-7.2297,1
12923,52.2312,-7.2297,1
12928,53.4811,-9.942,1
12929,52.9144,-4.3079,4
12935,51.5351,-0.0218,5
12941,51.5351,-0.0218,2
12943,51.9962,-0.1586,9
12953,53.5264,-7.336,1
12958,52.1126,-0.4644,2
12959,52.361,-1.1563,3
12964,55.0189,-7.3281,1
12965,55.0561,-6.9333,1
12966,51.4101,-0.1856,1
12967,52.7824,-3.3907,1
12970,52.8259,-8.9679,1
12972,52.8259,-8.9679,2
12980,54.2253,-1.5682,8
12981,53.7376,-0.5292,5
12984,52.4618,-3.3207,3
12987,52.3663,-3.1903,2
12989,52.1111,-4.5401,1
12990,52.5616,-0.2276,10
12996,51.5395,-0.0081,3
12997,54.2998,-6.2963,23
12998,54.2389,-6.3218,9
12999,52.6323,-0.5647,1
13001,52.4317,-3.9401,1
13002,52.6547,-8.5632,2
13003,52.385,0.0226,1
13004,52.2335,-0.9442,3
13005,51.8112,-4.4714,2
13006,52.4713,1.5663,10
13008,55.1696,-6.4516,3
13009,51.5506,-0.0183,1
13010,51.5472,-0.0164,2
13011,51.5509,-0.0177,1
13012,51.5484,-0.0167,1
13013,51.5497,-0.0178,2
13014,51.546,-0.0165,1
13015,51.5504,-0.0151,1
13016,51.5491,-0.011,1
13025,53.6565,0.1117,14
